pe_firm_name,step1_method,website_found,website_confidence
Fortitude Investment Partners,Attempt 1,https://www.fortitudeinvest.com.au/portfolio,A
Allegro Funds,Attempt 1,https://allegrofunds.com.au/portfolio,A
Anacacia Capital,Attempt 1,https://www.anacacia.com.au/portfolio,A
Anchorage Capital Partners,Attempt 1,https://www.anchoragecapital.com.au/portfolio/,A
Bain Capital,Attempt 1,https://www.baincapital.com/#ourintegratedplatform,B
Bridgeport Capital,Attempt 1,https://www.bridgeportcapital.com.au/investments.html,A
CPE Capital,Attempt 1,https://cpecapital.com/portfolio-companies/,A
Crescent Capital Partners,Attempt 3,https://www.crescentcap.com.au/,A
Greenwich Capital Partners,Attempt 1,https://greenwichcapital.com.au/investments/,A
Kestrel Capital Pty Ltd,Attempt 3,https://www.kestrelcapital.com.au/kgc-fund,A
KKR,Attempt 1,https://www.kkr.com/invest/portfolio,A
LVP,Attempt 3,https://lvpfunds.com.au/strategies/,A
Mercury Capital,Attempt 1,https://www.mercurycapital.com.au/portfolio/,A
Navis Capital Partners,Attempt 3,https://www.naviscapital.com/private-equity/,A
Next Capital,Attempt 1,https://nextcapital.com.au/investments/,A
Pacific Equity Partners,Attempt 1,https://www.pep.com.au/investments/,A
Quadrant Private Equity,Attempt 3,https://www.quadrantpe.com.au/funds-investments,A
Tasman Capital Partners,Attempt 1,https://tasmancapital.com.au/portfolio,A
Advent Partners,Attempt 1,https://advent.com.au/portfolio-news/,A
Livingbridge Aus Pty Ltd,Attempt 1,https://www.livingbridge.com/portfolio,A
Salter Brothers Funds Management,Attempt 1,https://salterbrothers.com.au/portfolio/,A
The Riverside Company,Attempt 3,https://www.riversidecompany.com/investment-portfolio/,A
