pe_firm_name,step1_method,website_found,website_confidence
Fortitude Investment Partners,Attempt 1,https://www.fortitudeinvest.com.au/portfolio,A
Adamantem Capital,Attempt 3,https://adamantem.com.au/,A
Allegro Funds,Attempt 1,https://allegrofunds.com.au/portfolio,A
Anacacia Capital,Attempt 1,https://www.anacacia.com.au/portfolio,A
Anchorage Capital Partners,Attempt 1,https://www.anchoragecapital.com.au/portfolio/,A
Bain Capital,Attempt 1,https://www.baincapital.com/#ourintegratedplatform,B
Bridgeport Capital,Attempt 1,https://www.bridgeportcapital.com.au/investments.html,A
CPE Capital,Attempt 1,https://cpecapital.com/portfolio-companies/,A
Crescent Capital Partners,Attempt 3,https://www.crescentcap.com.au/private-equity,A
Greenwich Capital Partners,Attempt 1,https://greenwichcapital.com.au/investments/,A
Kestrel Capital Pty Ltd,Attempt 3,https://www.kestrelcapital.com.au/kgc-fund,A
KKR,Attempt 1,https://www.kkr.com/invest/portfolio,A
LVP,Cached,https://lvpfunds.com.au/strategies/,A
Mercury Capital,Attempt 1,https://www.mercurycapital.com.au/portfolio/,A
Navis Capital Partners,Attempt 3,https://www.naviscapital.com/portfolio-tag/current-investments/,A
