card_id,text,raw_text,type,rank
0,Navis Logo,Navis Logo,img_alt_text,E
0,Navis logo,https://www.naviscapital.com/wp-content/uploads/2024/09/Navis-logo.jpg,src,E
1,Current Investments,Current Investments,a_inner_text,A
1,void(0);,javascript:void(0);,href,C
2,Past Investments,Past Investments,a_inner_text,A
2,void(0);,javascript:void(0);,href,C
3,Case Studies,Case Studies,a_inner_text,A
3,void(0);,javascript:void(0);,href,C
4,Orienda,Orienda,a_inner_text,A
4,oriendainternationalhospital,https://oriendainternationalhospital.com.kh/,href,D
5,Sindiyan,Sindiyan,a_inner_text,A
5,sindiyan,https://www.sindiyan.com/,href,D
6,Carbay,Carbay,a_inner_text,A
6,oto,https://www.oto.com/,href,D
7,Orchid,Orchid,a_inner_text,A
7,orchidkohpich,https://www.orchidkohpich.com/,href,D
8,Caring Group,Caring Group,a_inner_text,A
8,caringgroup,https://www.caringgroup.com.au/,href,D
9,Y11 Sport & Media,Y11 Sport & Media,a_inner_text,A
9,y11sm,https://www.y11sm.com/,href,D
10,Dan-D Foods Group,Dan-D Foods Group,a_inner_text,A
10,danonfoods,https://www.danonfoods.com/,href,D
11,Eton Solutions,Eton Solutions,a_inner_text,A
11,eton solutions,https://eton-solutions.com/,href,D
12,S-Spine and Nerve Hospital,S-Spine and Nerve Hospital,a_inner_text,A
12,en,https://www.s-spinehospital.com/en/,href,C
13,Ambassador Education Group,Ambassador Education Group,a_inner_text,A
13,aegcm,https://www.aegcm.com/,href,D
14,Software Combined,Software Combined,a_inner_text,A
14,softwarecombined,https://www.softwarecombined.com/,href,D
15,Aurelius Healthcare,Aurelius Healthcare,a_inner_text,A
15,aureliushealth,https://aureliushealth.com/,href,D
16,Moneythor,Moneythor,a_inner_text,A
16,moneythor,https://www.moneythor.com/,href,D
17,CIA FIRST International School,CIA FIRST International School,a_inner_text,A
17,ciaschool,https://www.ciaschool.edu.kh/,href,D
18,Hernan,Hernan,a_inner_text,A
18,hernan,https://hernan.com.my/,href,D
19,Srithai,Srithai,a_inner_text,A
19,srithaidailyfoods,https://www.srithaidailyfoods.com/,href,D
20,Institute of Global Citizenship,Institute of Global Citizenship,a_inner_text,A
20,home,https://igc.edu.vn/en-US/home,href,C
21,Device Technologies,Device Technologies,a_inner_text,A
21,device,https://www.device.com.au/,href,D
22,Saitex,Saitex,a_inner_text,A
22,sai tex,http://www.sai-tex.com/,href,D
23,Dscaff,Dscaff,a_inner_text,A
23,dscaff,https://dscaff.com/,href,D
24,Mainland Poultry,Mainland Poultry,a_inner_text,A
24,woodlandeggs,https://www.woodlandeggs.co.nz/,href,D
25,Evolution Wellness,Evolution Wellness,a_inner_text,A
25,evolutionwellness,https://www.evolutionwellness.com/,href,D
26,ISA,ISA,a_inner_text,A
26,isanextgenmaterials,https://isanextgenmaterials.com/isanextgenmaterials,href,C
27,Christian Liaigre,Christian Liaigre,a_inner_text,A
27,en,https://www.studioliaigre.com/en/,href,C
28,Hanoi French Hospital,Hanoi French Hospital,a_inner_text,A
28,home,https://www.hfh.com.vn/en/home,href,C
29,Oriental Group,Oriental Group,a_inner_text,A
29,orientalrestaurants,https://www.orientalrestaurants.com.my/,href,D
30,Imperial Treasure,Imperial Treasure,a_inner_text,A
30,imperialtreasure,http://www.imperialtreasure.com/,href,D
31,Nitipon Clinic,Nitipon Clinic,a_inner_text,A
31,nitiponclinic,http://www.nitiponclinic.com/?lang=en,href,D
32,Wisdom,Wisdom,a_inner_text,A
32,huasenwei,https://www.huasenwei.com/,href,D
33,The Food Purveyor,The Food Purveyor,a_inner_text,A
33,thefoodpurveyor,https://thefoodpurveyor.com/,href,D
34,Dome Coffee,Dome Coffee,a_inner_text,A
34,domecoffees,https://www.domecoffees.com/,href,D
35,Cladtek,Cladtek,a_inner_text,A
35,cladtek,http://www.cladtek.com/,href,D
36,Eng Kong,Eng Kong,a_inner_text,A
36,engkong,http://www.engkong.com/,href,D
37,Texon,Texon,a_inner_text,A
37,texon,https://www.naviscapital.com/case_study/texon/,href,C
38,Indochina Academy,Indochina Academy,a_inner_text,A
38,indochina academy,https://www.naviscapital.com/case_study/indochina-academy/,href,C
39,Device Technologies,Device Technologies,a_inner_text,A
39,device technologies,https://www.naviscapital.com/case_study/device-technologies/,href,C
40,Aurelius Healthcare,Aurelius Healthcare,a_inner_text,A
40,aurelius healthcare,https://www.naviscapital.com/case_study/aurelius-healthcare/,href,C
41,TES-AMM,TES-AMM,a_inner_text,A
41,tes amm,https://www.naviscapital.com/case_study/tes-amm/,href,C
42,Modern Star,Modern Star,a_inner_text,A
42,modern star,https://www.naviscapital.com/case_study/modern-star/,href,C
43,Orienda,Orienda,img_alt_text,B
43,orienda,https://www.naviscapital.com/wp-content/uploads/2024/11/orienda.png,src,B
44,Sindiyan,Sindiyan,img_alt_text,B
44,syndian,https://www.naviscapital.com/wp-content/uploads/2024/11/syndian.png,src,B
45,Carbay,Carbay,img_alt_text,B
45,Carbay,https://www.naviscapital.com/wp-content/uploads/2024/09/Carbay.jpg,src,B
46,Orchid,Orchid,img_alt_text,B
46,Orchid,https://www.naviscapital.com/wp-content/uploads/2024/09/Orchid.jpg,src,B
47,Caring Group,Caring Group,img_alt_text,B
47,Caring Group,https://www.naviscapital.com/wp-content/uploads/2024/09/Caring-Group.jpg,src,B
48,Y11 Sport & Media,Y11 Sport & Media,img_alt_text,B
48,Y 11 Sport Media,https://www.naviscapital.com/wp-content/uploads/2024/09/Y-11-Sport-Media.jpg,src,B
49,Dan-D Foods Group,Dan-D Foods Group,img_alt_text,B
49,DanD Foods,https://www.naviscapital.com/wp-content/uploads/2024/09/DanD-Foods.jpg,src,B
50,Eton Solutions,Eton Solutions,img_alt_text,B
50,Eton v1,https://www.naviscapital.com/wp-content/uploads/2024/09/Eton_v1.jpg,src,B
51,S-Spine and Nerve Hospital,S-Spine and Nerve Hospital,img_alt_text,B
51,S Spine Nerve,https://www.naviscapital.com/wp-content/uploads/2024/09/S-Spine-Nerve.jpg,src,B
52,Ambassador Education Group,Ambassador Education Group,img_alt_text,B
52,AEG logo2,https://www.naviscapital.com/wp-content/uploads/2024/09/AEG_logo2.jpg,src,B
53,Software Combined,Software Combined,img_alt_text,B
53,SoftCom Logo,https://www.naviscapital.com/wp-content/uploads/2024/09/SoftCom-Logo.jpg,src,B
54,Aurelius Healthcare,Aurelius Healthcare,img_alt_text,B
54,Aurelius v4,https://www.naviscapital.com/wp-content/uploads/2024/09/Aurelius_v4.png,src,B
55,Moneythor,Moneythor,img_alt_text,B
55,moneythor,https://www.naviscapital.com/wp-content/uploads/2021/01/moneythor.png,src,B
56,CIA FIRST International School,CIA FIRST International School,img_alt_text,B
56,CIA FIRST logo4,https://www.naviscapital.com/wp-content/uploads/2024/09/CIA-FIRST-logo4.jpg,src,B
57,Hernan,Hernan,img_alt_text,B
57,hernan alt,https://www.naviscapital.com/wp-content/uploads/2019/10/hernan-alt.png,src,B
58,Srithai,Srithai,img_alt_text,B
58,srithai logo v1,https://www.naviscapital.com/wp-content/uploads/2024/09/srithai-logo-v1.jpg,src,B
59,Institute of Global Citizenship,Institute of Global Citizenship,img_alt_text,B
59,IGC web2,https://www.naviscapital.com/wp-content/uploads/2024/09/IGC_web2.jpg,src,B
60,Device Technologies,Device Technologies,img_alt_text,B
60,DT v3,https://www.naviscapital.com/wp-content/uploads/2024/09/DT_v3.jpg,src,B
61,Saitex,Saitex,img_alt_text,B
61,saitex v2,https://www.naviscapital.com/wp-content/uploads/2024/09/saitex-v2.png,src,B
62,Dscaff,Dscaff,img_alt_text,B
62,Dscaff2,https://www.naviscapital.com/wp-content/uploads/2024/09/Dscaff2.jpg,src,B
63,Mainland Poultry,Mainland Poultry,img_alt_text,B
63,mainland poultry,https://www.naviscapital.com/wp-content/uploads/2024/09/mainland-poultry.jpg,src,B
64,Evolution Wellness,Evolution Wellness,img_alt_text,B
64,Evolution Wellness,https://www.naviscapital.com/wp-content/uploads/2024/09/Evolution-Wellness.png,src,B
65,ISA,ISA,img_alt_text,B
65,Isa,https://www.naviscapital.com/wp-content/uploads/2016/06/Isa.png,src,B
66,Christian Liaigre,Christian Liaigre,img_alt_text,B
66,Christian Liaigre 1,https://www.naviscapital.com/wp-content/uploads/2024/09/Christian-Liaigre-1.png,src,B
67,Hanoi French Hospital,Hanoi French Hospital,img_alt_text,B
67,Hanoi French Hospital,https://www.naviscapital.com/wp-content/uploads/2024/09/Hanoi-French-Hospital.png,src,B
68,Oriental Group,Oriental Group,img_alt_text,B
68,Oriental logo8,https://www.naviscapital.com/wp-content/uploads/2024/09/Oriental-logo8.jpg,src,B
69,Imperial Treasure,Imperial Treasure,img_alt_text,B
69,imperial treasure,https://www.naviscapital.com/wp-content/uploads/2015/06/imperial-treasure.png,src,B
70,Nitipon Clinic,Nitipon Clinic,img_alt_text,B
70,nitipon,https://www.naviscapital.com/wp-content/uploads/2024/09/nitipon.jpg,src,B
71,Wisdom,Wisdom,img_alt_text,B
71,wisdom,https://www.naviscapital.com/wp-content/uploads/2014/10/wisdom.png,src,B
72,The Food Purveyor,The Food Purveyor,img_alt_text,B
72,tfp,https://www.naviscapital.com/wp-content/uploads/2024/09/tfp.jpg,src,B
73,Dome Coffee,Dome Coffee,img_alt_text,B
73,Dome Coffee,https://www.naviscapital.com/wp-content/uploads/2024/09/Dome-Coffee.png,src,B
74,Cladtek,Cladtek,img_alt_text,B
74,cladtek,https://www.naviscapital.com/wp-content/uploads/2014/08/cladtek.png,src,B
75,Eng Kong,Eng Kong,img_alt_text,B
75,Eng Kong,https://www.naviscapital.com/wp-content/uploads/2024/09/Eng-Kong.png,src,B
76,Texon,Texon,img_alt_text,B
76,Texon International,https://www.naviscapital.com/wp-content/uploads/2024/10/Texon-International.png,src,B
77,Indochina Academy,Indochina Academy,img_alt_text,B
77,IA group,https://www.naviscapital.com/wp-content/uploads/2024/10/IA-group.jpg,src,B
78,Device Technologies,Device Technologies,img_alt_text,B
78,DT v3,https://www.naviscapital.com/wp-content/uploads/2024/10/DT_v3.jpg,src,B
79,Aurelius Healthcare,Aurelius Healthcare,img_alt_text,B
79,Aurelius v4,https://www.naviscapital.com/wp-content/uploads/2024/10/Aurelius_v4.png,src,B
80,TES-AMM,TES-AMM,img_alt_text,B
