card_id,text,raw_text,type,rank
0,Team,Team,a_inner_text,A
0,team,https://nextcapital.com.au/team/,href,C
1,Investments,Investments,a_inner_text,A
1,investments,https://nextcapital.com.au/investments/,href,C
2,News,News,a_inner_text,A
2,news,https://nextcapital.com.au/news/,href,C
3,Contact,Contact,a_inner_text,A
3,contact,https://nextcapital.com.au/contact/,href,C
4,Investor Login,Investor Login,a_inner_text,A
4,dynamo,https://dynamo.dynamosoftware.com/,href,D
5,Current,Current,a_inner_text,A
5,,#,href,D
6,Past,Past,a_inner_text,A
6,,#,href,D
7,Read more,Read more,a_inner_text,A
7,,#modal0,href,D
8,Travviahttps://www.travviagroup.com/,Travviahttps://www.travviagroup.com/,a_inner_text,A
8,travviagroup,https://www.travviagroup.com/,href,D
9,Read more,Read more,a_inner_text,A
9,,#modal1,href,D
10,Enviropacificwww.enviropacific.com.au,Enviropacificwww.enviropacific.com.au,a_inner_text,A
10,enviropacific,http://www.enviropacific.com.au,href,D
11,Read more,Read more,a_inner_text,A
11,,#modal2,href,D
12,Eptecwww.eptec.com.au,Eptecwww.eptec.com.au,a_inner_text,A
12,eptec,http://www.eptec.com.au,href,D
13,Read more,Read more,a_inner_text,A
13,,#modal3,href,D
14,TMXwww.tmxtransform.com,TMXwww.tmxtransform.com,a_inner_text,A
14,tmxtransform,http://www.tmxtransform.com,href,D
15,Read more,Read more,a_inner_text,A
15,,#modal4,href,D
16,Silver Chefwww.silverchef.com.au,Silver Chefwww.silverchef.com.au,a_inner_text,A
16,silverchef,http://www.silverchef.com.au,href,D
17,Read more,Read more,a_inner_text,A
17,,#modal5,href,D
18,NZ Buscareers.nzbus.co.nz/home,NZ Buscareers.nzbus.co.nz/home,a_inner_text,A
18,home,http://careers.nzbus.co.nz/home,href,C
19,Read more,Read more,a_inner_text,A
19,,#modal6,href,D
20,iSeekwww.iseek.com.au,iSeekwww.iseek.com.au,a_inner_text,A
20,iseek,http://www.iseek.com.au,href,D
21,Read more,Read more,a_inner_text,A
21,,#modal7,href,D
22,Noisettewww.noisette.com.au,Noisettewww.noisette.com.au,a_inner_text,A
22,noisette,http://www.noisette.com.au,href,D
23,Read more,Read more,a_inner_text,A
23,,#modal8,href,D
24,Funlabwww.fun-lab.com,Funlabwww.fun-lab.com,a_inner_text,A
