card_id,text,raw_text,type,rank
0,Active Adventures,Active Adventures,a_inner_text,D
0,activeadventures,https://activeadventures.com/,href,D
1,Aged Care Decisions,Aged Care Decisions,a_inner_text,D
1,agedcaredecisions,https://agedcaredecisions.com.au/,href,D
2,Aura Medical Group,Aura Medical Group,a_inner_text,D
2,auramedicalgroup,https://auramedicalgroup.com.au/,href,D
3,Birch & Waite,Birch & Waite,a_inner_text,D
3,birchandwaite,https://birchandwaite.com.au/,href,D
4,Nomad Breads,Nomad Breads,a_inner_text,D
4,nomadbreads,http://nomadbreads.com.au/,href,D
5,Nutra Organics,Nutra Organics,a_inner_text,D
5,nutraorganics,https://nutraorganics.com.au/,href,D
6,Shorthand,Shorthand,a_inner_text,D
6,shorthand,https://shorthand.com/,href,D
7,The Energy Network (TEN),The Energy Network (TEN),a_inner_text,D
7,tengroup,https://www.tengroup.com.au/,href,D
8,Machines4U,Machines4U,a_inner_text,D
8,machines4u,https://www.machines4u.com.au/,href,D
9,Active Adventures,Active Adventures,img_alt_text,E
10,Aged Care Decisions,Aged Care Decisions,img_alt_text,E
11,Aura Medical Group,Aura Medical Group,img_alt_text,E
12,Birch &amp; Waite,Birch &amp; Waite,img_alt_text,E
13,Nomad Breads,Nomad Breads,img_alt_text,E
14,Nutra Organics,Nutra Organics,img_alt_text,E
15,Shorthand,Shorthand,img_alt_text,E
16,The Energy Network (TEN),The Energy Network (TEN),img_alt_text,E
17,Machines4U,Machines4U,img_alt_text,E
18,Active Adventures,Active Adventures,a_inner_text,D
18,activeadventures,https://activeadventures.com/,href,D
19,Aged Care Decisions,Aged Care Decisions,a_inner_text,D
19,agedcaredecisions,https://agedcaredecisions.com.au/,href,D
20,Aura Medical Group,Aura Medical Group,a_inner_text,D
20,auramedicalgroup,https://auramedicalgroup.com.au/,href,D
21,Birch & Waite,Birch & Waite,a_inner_text,D
21,birchandwaite,https://birchandwaite.com.au/,href,D
22,Nomad Breads,Nomad Breads,a_inner_text,D
22,nomadbreads,http://nomadbreads.com.au/,href,D
23,Nutra Organics,Nutra Organics,a_inner_text,D
23,nutraorganics,https://nutraorganics.com.au/,href,D
24,Shorthand,Shorthand,a_inner_text,D
24,shorthand,https://shorthand.com/,href,D
25,The Energy Network (TEN),The Energy Network (TEN),a_inner_text,D
25,tengroup,https://www.tengroup.com.au/,href,D
26,Machines4U,Machines4U,a_inner_text,D
26,machines4u,https://www.machines4u.com.au/,href,D
27,Active Adventures,Active Adventures,img_alt_text,E
28,Aged Care Decisions,Aged Care Decisions,img_alt_text,E
29,Aura Medical Group,Aura Medical Group,img_alt_text,E
30,Birch &amp; Waite,Birch &amp; Waite,img_alt_text,E
31,Nomad Breads,Nomad Breads,img_alt_text,E
32,Nutra Organics,Nutra Organics,img_alt_text,E
33,Shorthand,Shorthand,img_alt_text,E
34,The Energy Network (TEN),The Energy Network (TEN),img_alt_text,E
35,Machines4U,Machines4U,img_alt_text,E
36,Active Adventures,Active Adventures,a_inner_text,D
36,activeadventures,https://activeadventures.com/,href,D
37,Active Adventures,Active Adventures,img_alt_text,E
38,Active Adventures,Active Adventures,img_alt_text,E
39,Aged Care Decisions,Aged Care Decisions,a_inner_text,D
39,agedcaredecisions,https://agedcaredecisions.com.au/,href,D
40,Aged Care Decisions,Aged Care Decisions,img_alt_text,E
41,Aged Care Decisions,Aged Care Decisions,img_alt_text,E
42,Aura Medical Group,Aura Medical Group,a_inner_text,D
42,auramedicalgroup,https://auramedicalgroup.com.au/,href,D
43,Aura Medical Group,Aura Medical Group,img_alt_text,E
44,Aura Medical Group,Aura Medical Group,img_alt_text,E
45,Birch & Waite,Birch & Waite,a_inner_text,D
45,birchandwaite,https://birchandwaite.com.au/,href,D
46,Birch &amp; Waite,Birch &amp; Waite,img_alt_text,E
47,Birch &amp; Waite,Birch &amp; Waite,img_alt_text,E
48,Nomad Breads,Nomad Breads,a_inner_text,D
48,nomadbreads,http://nomadbreads.com.au/,href,D
49,Nomad Breads,Nomad Breads,img_alt_text,E
50,Nomad Breads,Nomad Breads,img_alt_text,E
51,Nutra Organics,Nutra Organics,a_inner_text,D
51,nutraorganics,https://nutraorganics.com.au/,href,D
52,Nutra Organics,Nutra Organics,img_alt_text,E
53,Nutra Organics,Nutra Organics,img_alt_text,E
54,Shorthand,Shorthand,a_inner_text,D
54,shorthand,https://shorthand.com/,href,D
55,Shorthand,Shorthand,img_alt_text,E
56,Shorthand,Shorthand,img_alt_text,E
57,The Energy Network (TEN),The Energy Network (TEN),a_inner_text,D
57,tengroup,https://www.tengroup.com.au/,href,D
58,The Energy Network (TEN),The Energy Network (TEN),img_alt_text,E
59,The Energy Network (TEN),The Energy Network (TEN),img_alt_text,E
60,Machines4U,Machines4U,a_inner_text,D
60,machines4u,https://www.machines4u.com.au/,href,D
61,Machines4U,Machines4U,img_alt_text,E
62,Machines4U,Machines4U,img_alt_text,E
63,Birch & Waite,Birch & Waite,a_inner_text,D
63,birchandwaite,https://birchandwaite.com.au/,href,D
65,GM Hotels,GM Hotels,a_inner_text,D
65,gm hotels case study,/gm-hotels-case-study,href,C
67,Read case study,Read case study,a_inner_text,D
67,gm hotels case study,/gm-hotels-case-study,href,C
69,Shopper,Shopper,a_inner_text,D
69,shopper case study,https://www.fortitudeinvest.com.au/shopper-case-study,href,C
70,Read case study,Read case study,a_inner_text,D
70,shopper case study,https://www.fortitudeinvest.com.au/shopper-case-study,href,C
72,Quality Foods & Beverages,Quality Foods & Beverages,a_inner_text,D
72,qfb,/realised-investments/qfb,href,C
74,Read case study,Read case study,a_inner_text,D
74,quality foods beverages case study,/quality-foods-beverages-case-study,href,C
77,Better Medical,Better Medical,a_inner_text,D
77,better medical,/realised-investments/better-medical,href,C
79,Read case study,Read case study,a_inner_text,D
79,better medical case study,/better-medical-case-study,href,C
82,Hospital Pharmacy Services,Hospital Pharmacy Services,a_inner_text,D
82,hospital pharmacy services,/realised-investments/hospital-pharmacy-services,href,C
84,Read case study,Read case study,a_inner_text,D
84,hps case study copy,/hps-case-study-copy,href,C
87,Foundation Early Learning,Foundation Early Learning,a_inner_text,D
87,foundation early learning,/realised-investments/foundation-early-learning,href,C
89,Read case study,Read case study,a_inner_text,D
89,foundation early learning case study,/foundation-early-learning-case-study,href,C
92,Readify,Readify,a_inner_text,D
92,readify,/realised-investments/readify,href,C
94,Read case study,Read case study,a_inner_text,D
94,readify case study,/readify-case-study,href,C
96,Birch &amp; Waite,Birch &amp; Waite,img_alt_text,E
97,GM Hotels,GM Hotels,img_alt_text,E
98,Shopper,Shopper,img_alt_text,E
99,Quality Foods & Beverages,Quality Foods & Beverages,img_alt_text,E
100,Better Medical,Better Medical,img_alt_text,E
101,Hospital Pharmacy Services,Hospital Pharmacy Services,img_alt_text,E
102,Foundation Early Learning,Foundation Early Learning,img_alt_text,E
103,Readify,Readify,img_alt_text,E
104,Birch & Waite,Birch & Waite,a_inner_text,D
104,birchandwaite,https://birchandwaite.com.au/,href,D
106,GM Hotels,GM Hotels,a_inner_text,D
106,gm hotels case study,/gm-hotels-case-study,href,C
108,Read case study,Read case study,a_inner_text,D
108,gm hotels case study,/gm-hotels-case-study,href,C
110,Shopper,Shopper,a_inner_text,D
110,shopper case study,https://www.fortitudeinvest.com.au/shopper-case-study,href,C
111,Read case study,Read case study,a_inner_text,D
111,shopper case study,https://www.fortitudeinvest.com.au/shopper-case-study,href,C
113,Quality Foods & Beverages,Quality Foods & Beverages,a_inner_text,D
113,qfb,/realised-investments/qfb,href,C
115,Read case study,Read case study,a_inner_text,D
115,quality foods beverages case study,/quality-foods-beverages-case-study,href,C
118,Better Medical,Better Medical,a_inner_text,D
118,better medical,/realised-investments/better-medical,href,C
120,Read case study,Read case study,a_inner_text,D
120,better medical case study,/better-medical-case-study,href,C
123,Hospital Pharmacy Services,Hospital Pharmacy Services,a_inner_text,D
123,hospital pharmacy services,/realised-investments/hospital-pharmacy-services,href,C
125,Read case study,Read case study,a_inner_text,D
125,hps case study copy,/hps-case-study-copy,href,C
128,Foundation Early Learning,Foundation Early Learning,a_inner_text,D
128,foundation early learning,/realised-investments/foundation-early-learning,href,C
130,Read case study,Read case study,a_inner_text,D
130,foundation early learning case study,/foundation-early-learning-case-study,href,C
133,Readify,Readify,a_inner_text,D
133,readify,/realised-investments/readify,href,C
135,Read case study,Read case study,a_inner_text,D
135,readify case study,/readify-case-study,href,C
137,Birch &amp; Waite,Birch &amp; Waite,img_alt_text,E
138,GM Hotels,GM Hotels,img_alt_text,E
139,Shopper,Shopper,img_alt_text,E
140,Quality Foods & Beverages,Quality Foods & Beverages,img_alt_text,E
141,Better Medical,Better Medical,img_alt_text,E
142,Hospital Pharmacy Services,Hospital Pharmacy Services,img_alt_text,E
143,Foundation Early Learning,Foundation Early Learning,img_alt_text,E
144,Readify,Readify,img_alt_text,E
145,Birch & Waite,Birch & Waite,a_inner_text,D
145,birchandwaite,https://birchandwaite.com.au/,href,D
146,Birch &amp; Waite,Birch &amp; Waite,img_alt_text,E
147,Birch &amp; Waite,Birch &amp; Waite,img_alt_text,E
149,GM Hotels,GM Hotels,a_inner_text,D
149,gm hotels case study,/gm-hotels-case-study,href,C
151,Read case study,Read case study,a_inner_text,D
151,gm hotels case study,/gm-hotels-case-study,href,C
153,GM Hotels,GM Hotels,img_alt_text,E
154,GM Hotels,GM Hotels,img_alt_text,E
158,Shopper,Shopper,a_inner_text,D
158,shopper case study,https://www.fortitudeinvest.com.au/shopper-case-study,href,C
159,Read case study,Read case study,a_inner_text,D
159,shopper case study,https://www.fortitudeinvest.com.au/shopper-case-study,href,C
160,Shopper,Shopper,img_alt_text,E
161,Shopper,Shopper,img_alt_text,E
163,Quality Foods & Beverages,Quality Foods & Beverages,a_inner_text,D
163,qfb,/realised-investments/qfb,href,C
165,Read case study,Read case study,a_inner_text,D
165,quality foods beverages case study,/quality-foods-beverages-case-study,href,C
