card_id,text,raw_text,type,rank
0,Logo,Logo,img_alt_text,E
0,mercury capital logo,https://www.mercurycapital.com.au/wp-content/uploads/mercury_capital_logo.png,src,E
1,Logo,Logo,img_alt_text,E
1,mercury capital logo,https://www.mercurycapital.com.au/wp-content/uploads/mercury_capital_logo.png,src,E
2,Logo,Logo,img_alt_text,E
2,mercury capital logo,https://www.mercurycapital.com.au/wp-content/uploads/mercury_capital_logo.png,src,E
3,Logo,Logo,img_alt_text,E
3,mercury capital logo,https://www.mercurycapital.com.au/wp-content/uploads/mercury_capital_logo.png,src,E
4,Logo,Logo,img_alt_text,E
4,mercury capital logo,https://www.mercurycapital.com.au/wp-content/uploads/mercury_capital_logo.png,src,E
5,Logo,Logo,img_alt_text,E
5,logo,https://www.mercurycapital.com.au/wp-content/uploads/logo.png,src,E
6,Logo,Logo,img_alt_text,E
6,mercury capital logo,https://www.mercurycapital.com.au/wp-content/uploads/mercury_capital_logo.png,src,E
7,Logo,Logo,img_alt_text,E
7,mercury capital logo,https://www.mercurycapital.com.au/wp-content/uploads/mercury_capital_logo.png,src,E
8,Logo,Logo,img_alt_text,E
8,mercury capital logo,https://www.mercurycapital.com.au/wp-content/uploads/mercury_capital_logo.png,src,E
9,Logo,Logo,img_alt_text,E
9,mercury capital logo,https://www.mercurycapital.com.au/wp-content/uploads/mercury_capital_logo.png,src,E
10,Logo,Logo,img_alt_text,E
10,mercury capital logo,https://www.mercurycapital.com.au/wp-content/uploads/mercury_capital_logo.png,src,E
11,Logo,Logo,img_alt_text,E
11,logo,https://www.mercurycapital.com.au/wp-content/uploads/logo.png,src,E
12,Matrix Education Logo – Mercury Capital Portfolio,Matrix Education Logo – Mercury Capital Portfolio,img_alt_text,E
12,logo matrix education portfolio mercury capital,https://www.mercurycapital.com.au/wp-content/uploads/logo-matrix-education-portfolio-mercury-capital.jpg,src,E
13,Forsyth Barr logo -Mercury Capital portfolio,Forsyth Barr logo -Mercury Capital portfolio,img_alt_text,E
13,logo forsyth barr portfolio mercury capital,https://www.mercurycapital.com.au/wp-content/uploads/logo-forsyth-barr-portfolio-mercury-capital.jpg,src,E
14,ResourceCo Mercury Capital Portfolio Logo,ResourceCo Mercury Capital Portfolio Logo,img_alt_text,E
14,logo resource co portfolio mercury capital 2024,https://www.mercurycapital.com.au/wp-content/uploads/logo-resource-co-portfolio-mercury-capital-2024.jpg,src,E
15,Green by Nature Mercury Capital Portfolio Logo,Green by Nature Mercury Capital Portfolio Logo,img_alt_text,E
15,logo green by nature mercury capital portfolio,https://www.mercurycapital.com.au/wp-content/uploads/logo-green-by-nature-mercury-capital-portfolio.jpg,src,E
16,E&P Mercury Capital Portfolio Logos,E&P Mercury Capital Portfolio Logos,img_alt_text,E
16,logo e and p portfolio mercury capital,https://www.mercurycapital.com.au/wp-content/uploads/logo-e-and-p-portfolio-mercury-capital.jpg,src,E
17,Avive Logo – Mercury Capital Portfolio,Avive Logo – Mercury Capital Portfolio,img_alt_text,E
17,logo avive portfolio mercury capital,https://www.mercurycapital.com.au/wp-content/uploads/logo-avive-portfolio-mercury-capital.jpg,src,E
36,mercury capital logo,https://www.mercurycapital.com.au/wp-content/uploads/mercury_capital_logo.png,image_src,I
38,mercury capital logo,https://www.mercurycapital.com.au/wp-content/uploads/mercury_capital_logo.png,image_src,I
40,mercury capital logo,https://www.mercurycapital.com.au/wp-content/uploads/mercury_capital_logo.png,image_src,I
42,mercury capital logo,https://www.mercurycapital.com.au/wp-content/uploads/mercury_capital_logo.png,image_src,I
44,mercury capital logo,https://www.mercurycapital.com.au/wp-content/uploads/mercury_capital_logo.png,image_src,I
46,logo,https://www.mercurycapital.com.au/wp-content/uploads/logo.png,image_src,I
48,logo matrix education portfolio mercury capital,https://www.mercurycapital.com.au/wp-content/uploads/logo-matrix-education-portfolio-mercury-capital.jpg,image_src,I
50,FYFE 250x150 147 e1712212525776,https://www.mercurycapital.com.au/wp-content/uploads/FYFE-250x150-147-e1712212525776.jpg,image_src,I
52,Findex 250 x 150 1 e1712904115355,https://www.mercurycapital.com.au/wp-content/uploads/Findex-250-x-150-1-e1712904115355.jpg,image_src,I
54,JMC e1728621616707,https://www.mercurycapital.com.au/wp-content/uploads/JMC-e1728621616707.png,image_src,I
56,logo forsyth barr portfolio mercury capital,https://www.mercurycapital.com.au/wp-content/uploads/logo-forsyth-barr-portfolio-mercury-capital.jpg,image_src,I
58,Squiz 250x150,https://www.mercurycapital.com.au/wp-content/uploads/Squiz_250x150.png,image_src,I
60,logo message media portfolio mercury capital,https://www.mercurycapital.com.au/wp-content/uploads/logo-message-media-portfolio-mercury-capital.jpg,image_src,I
62,logo teg portfolio mercury capital,https://www.mercurycapital.com.au/wp-content/uploads/logo-teg-portfolio-mercury-capital.jpg,image_src,I
64,logo are media portfolio mercury capital,https://www.mercurycapital.com.au/wp-content/uploads/logo-are-media-portfolio-mercury-capital.jpg,image_src,I
66,logo resource co portfolio mercury capital 2024,https://www.mercurycapital.com.au/wp-content/uploads/logo-resource-co-portfolio-mercury-capital-2024.jpg,image_src,I
68,logo green by nature mercury capital portfolio,https://www.mercurycapital.com.au/wp-content/uploads/logo-green-by-nature-mercury-capital-portfolio.jpg,image_src,I
70,logo e and p portfolio mercury capital,https://www.mercurycapital.com.au/wp-content/uploads/logo-e-and-p-portfolio-mercury-capital.jpg,image_src,I
72,Architectus 250x150,https://www.mercurycapital.com.au/wp-content/uploads/Architectus_250x150.png,image_src,I
