card_id,text,raw_text,type,rank
1,email@example.com,email@example.com,a_inner_text,D
1,email@example,mailto:email@example.com,href,C
3,email@example.com,email@example.com,a_inner_text,D
3,email@example,mailto:email@example.com,href,C
4,ABOUT US,ABOUT US,a_inner_text,D
4,about us,https://cpecapital.com/about-us/,href,C
5,OUR PEOPLE,OUR PEOPLE,a_inner_text,D
5,our people,https://cpecapital.com/our-people/,href,C
6,PORTFOLIO,PORTFOLIO,a_inner_text,D
6,portfolio companies,https://cpecapital.com/portfolio-companies/,href,C
7,FOR INVESTORS,FOR INVESTORS,a_inner_text,D
7,for investors generating consistent returns,https://cpecapital.com/for-investors-generating-consistent-returns/,href,C
8,LOOKING FOR INVESTMENT,LOOKING FOR INVESTMENT,a_inner_text,D
8,looking for investment cpe capital a generalist investor,https://cpecapital.com/looking-for-investment-cpe-capital-a-generalist-investor/,href,C
9,NEWS,NEWS,a_inner_text,D
9,latest news on cpe capital and its portfolio companies,https://cpecapital.com/latest-news-on-cpe-capital-and-its-portfolio-companies/,href,C
10,CONTACT,CONTACT,a_inner_text,D
10,contact cpe capital,https://cpecapital.com/contact-cpe-capital/,href,C
11,INVESTOR LOGIN,INVESTOR LOGIN,a_inner_text,D
11,investors,https://investors.cpecapital.com,href,D
12,Text Hover,Text Hover,a_inner_text,D
12,,,href,C
13,Text Hover,Text Hover,a_inner_text,D
13,,,href,C
14,britishsausage.com.au/,britishsausage.com.au/,a_inner_text,D
14,britishsausage,https://britishsausage.com.au/,href,D
15,Text Hover,Text Hover,a_inner_text,D
15,,,href,C
16,Text Hover,Text Hover,a_inner_text,D
16,,,href,C
17,modusprojects.com.au,modusprojects.com.au,a_inner_text,D
17,modusprojects,http://modusprojects.com.au,href,D
18,Text Hover,Text Hover,a_inner_text,D
18,,,href,C
19,Text Hover,Text Hover,a_inner_text,D
19,,,href,C
20,ambroseconstruct.com.au,ambroseconstruct.com.au,a_inner_text,D
20,ambroseconstruct,http://ambroseconstruct.com.au,href,D
21,Text Hover,Text Hover,a_inner_text,D
21,,,href,C
22,Text Hover,Text Hover,a_inner_text,D
22,,,href,C
23,pushys.com.au,pushys.com.au,a_inner_text,D
23,pushys,http://pushys.com.au,href,D
24,bikebug.com,bikebug.com,a_inner_text,D
24,bikebug,http://bikebug.com,href,D
25,Text Hover,Text Hover,a_inner_text,D
25,,,href,C
26,Text Hover,Text Hover,a_inner_text,D
26,,,href,C
27,bmrecycling.com.au,bmrecycling.com.au,a_inner_text,D
27,bmrecycling,http://bmrecycling.com.au,href,D
28,Text Hover,Text Hover,a_inner_text,D
28,,,href,C
29,Text Hover,Text Hover,a_inner_text,D
29,,,href,C
30,asdam.org,asdam.org,a_inner_text,D
30,asdam,http://asdam.org,href,D
31,here,here,a_inner_text,D
31,for investors generating consistent returns,https://cpecapital.com/for-investors-generating-consistent-returns,href,C
32,Text Hover,Text Hover,a_inner_text,D
32,,,href,C
33,Text Hover,Text Hover,a_inner_text,D
33,,,href,C
34,britishsausage.com.au/,britishsausage.com.au/,a_inner_text,D
34,britishsausage,https://britishsausage.com.au/,href,D
35,Text Hover,Text Hover,a_inner_text,D
35,,,href,C
36,Text Hover,Text Hover,a_inner_text,D
36,,,href,C
37,Text Hover,Text Hover,a_inner_text,D
37,,,href,C
38,britishsausage.com.au/,britishsausage.com.au/,a_inner_text,D
38,britishsausage,https://britishsausage.com.au/,href,D
39,britishsausage.com.au/,britishsausage.com.au/,a_inner_text,D
39,britishsausage,https://britishsausage.com.au/,href,D
40,Text Hover,Text Hover,a_inner_text,D
40,,,href,C
41,Text Hover,Text Hover,a_inner_text,D
41,,,href,C
