card_id,text,raw_text,type,rank
0,Crescent Capital Partners,Crescent Capital Partners,img_alt_text,E
0,cc logo master white rgb,https://www.crescentcap.com.au/content/uploads/cc_logo_master_white-rgb.png,src,E
1,Learn More,Learn More,a_inner_text,D
1,healthcare,https://www.crescentcap.com.au/private-equity/healthcare,href,C
2,Learn More,Learn More,a_inner_text,D
2,healthcare,https://www.crescentcap.com.au/private-equity/healthcare,href,C
3,Learn More,Learn More,a_inner_text,D
3,healthcare,https://www.crescentcap.com.au/private-equity/healthcare,href,C
4,Learn more,Learn more,a_inner_text,D
4,evergreen private equity,https://www.crescentcap.com.au/evergreen-private-equity,href,C
10,cc logo master white rgb,https://www.crescentcap.com.au/content/uploads/cc_logo_master_white-rgb.png,image_src,I
12,1419158587 extended more 1,https://www.crescentcap.com.au/content/uploads/1419158587_extended_more-1.jpg,image_src,I
14,crescent capital partners cta 2 1024x512,https://www.crescentcap.com.au/content/uploads/crescent-capital-partners-cta-2-1024x512.jpg,image_src,I
16,crescent capital healthcare sector 1024x768,https://www.crescentcap.com.au/content/uploads/crescent-capital-healthcare-sector-1024x768.jpg,image_src,I
18,health care private equity,https://www.crescentcap.com.au/content/uploads/health-care-private-equity.jpg,image_src,I
20,specialty clinic and medical 1024x683,https://www.crescentcap.com.au/content/uploads/specialty-clinic-and-medical-1024x683.jpg,image_src,I
22,industrials,https://www.crescentcap.com.au/content/uploads/industrials.jpg,image_src,I
24,industrial tech 1 1024x768,https://www.crescentcap.com.au/content/uploads/industrial-tech-1-1024x768.jpg,image_src,I
26,financial services,https://www.crescentcap.com.au/content/uploads/financial-services.jpg,image_src,I
28,consumer,https://www.crescentcap.com.au/content/uploads/consumer.jpg,image_src,I
30,services,https://www.crescentcap.com.au/content/uploads/services.jpg,image_src,I
32,logistics 1024x683,https://www.crescentcap.com.au/content/uploads/logistics-1024x683.jpg,image_src,I
34,cosmetics robot,https://www.crescentcap.com.au/content/uploads/cosmetics-robot.jpg,image_src,I
36,cc icon circle diagonal white rgb,https://www.crescentcap.com.au/content/uploads/cc_icon_circle-diagonal_white-rgb.png,image_src,I
38,cc icon atom white rgb,https://www.crescentcap.com.au/content/uploads/cc_icon_atom_white-rgb.png,image_src,I
40,cc icon circle balance white rgb,https://www.crescentcap.com.au/content/uploads/cc_icon_circle-balance_white-rgb.png,image_src,I
42,cc icon triangle stack white rgb,https://www.crescentcap.com.au/content/uploads/cc_icon_triangle-stack_white-rgb.png,image_src,I
44,cc icon circle stack white rgb,https://www.crescentcap.com.au/content/uploads/cc_icon_circle-stack_white-rgb.png,image_src,I
46,growth fund cropped,https://www.crescentcap.com.au/content/uploads/growth-fund-cropped.jpg,image_src,I
48,crescents consumer fund team 1,https://www.crescentcap.com.au/content/uploads/crescents-consumer-fund-team-1.jpg,image_src,I
