card_id,text,raw_text,type,rank
0,Legal,Legal,a_inner_text,A
0,legal,/legal,href,C
1,"Level 30, 126 Phillip Street Sydney, NSW 2000","Level 30, 126 Phillip Street Sydney, NSW 2000",a_inner_text,D
1,data=!3m2!4b1!5s0x6b12ae6a601a02dd:0x87811d5527f5c8e6!4m6!3m5!1s0x6b12ae6a6075f6d7:0x62160e8e94fa9921!8m2!3d 33.866745!4d151.2117!16s%2Fg%2F1pv0 s054,"https://www.google.com/maps/place/Quadrant+Private+Equity/@-33.866745,151.2091197,17z/data=!3m2!4b1!5s0x6b12ae6a601a02dd:0x87811d5527f5c8e6!4m6!3m5!1s0x6b12ae6a6075f6d7:0x62160e8e94fa9921!8m2!3d-33.866745!4d151.2117!16s%2Fg%2F1pv0_s054?entry=ttu",href,C
2,quadrant@quadrantpe.com.au,quadrant@quadrantpe.com.au,a_inner_text,D
2,quadrant@quadrantpe.com,mailto:quadrant@quadrantpe.com.au,href,C
3,"Level 30, 126 Phillip Street Sydney, NSW 2000","Level 30, 126 Phillip Street Sydney, NSW 2000",a_inner_text,D
3,data=!3m2!4b1!5s0x6b12ae6a601a02dd:0x87811d5527f5c8e6!4m6!3m5!1s0x6b12ae6a6075f6d7:0x62160e8e94fa9921!8m2!3d 33.866745!4d151.2117!16s%2Fg%2F1pv0 s054,"https://www.google.com/maps/place/Quadrant+Private+Equity/@-33.866745,151.2091197,17z/data=!3m2!4b1!5s0x6b12ae6a601a02dd:0x87811d5527f5c8e6!4m6!3m5!1s0x6b12ae6a6075f6d7:0x62160e8e94fa9921!8m2!3d-33.866745!4d151.2117!16s%2Fg%2F1pv0_s054?entry=ttu",href,C
4,quadrant@quadrantpe.com.au,quadrant@quadrantpe.com.au,a_inner_text,D
4,quadrant@quadrantpe.com,mailto:quadrant@quadrantpe.com.au,href,C
5,Close,Close,a_inner_text,D
5,,#,href,D
6,Close,Close,a_inner_text,D
6,,#,href,D
7,Close,Close,a_inner_text,D
7,,#,href,D
8,Close,Close,a_inner_text,D
8,,#,href,D
9,Close,Close,a_inner_text,D
9,,#,href,D
10,Close,Close,a_inner_text,D
10,,#,href,D
11,Close,Close,a_inner_text,D
11,,#,href,D
12,Close,Close,a_inner_text,D
12,,#,href,D
13,Close,Close,a_inner_text,D
13,,#,href,D
14,Close,Close,a_inner_text,D
14,,#,href,D
15,Close,Close,a_inner_text,D
15,,#,href,D
16,Close,Close,a_inner_text,D
16,,#,href,D
17,Close,Close,a_inner_text,D
17,,#,href,D
18,Close,Close,a_inner_text,D
18,,#,href,D
19,Close,Close,a_inner_text,D
19,,#,href,D
20,Close,Close,a_inner_text,D
20,,#,href,D
21,Close,Close,a_inner_text,D
21,,#,href,D
22,Close,Close,a_inner_text,D
22,,#,href,D
23,Close,Close,a_inner_text,D
23,,#,href,D
24,Close,Close,a_inner_text,D
24,,#,href,D
25,Close,Close,a_inner_text,D
25,,#,href,D
26,Close,Close,a_inner_text,D
