card_id,text,raw_text,type,rank
0,About us,About us,a_inner_text,D
0,about us,/about-us,href,C
1,Investments,Investments,a_inner_text,D
1,investments,/investments,href,C
2,News & Updates,News & Updates,a_inner_text,D
2,news,/news,href,C
3,Careers,Careers,a_inner_text,D
3,careers,/careers,href,C
4,Investor Login,Investor Login,a_inner_text,D
4,login,https://iam.intralinks.com/idp/login/?applicationid=c3b3d6c3-46f5-4496-a17d-0eeb271fd601&br=5b30820e-5933-4be5-8d3a-33ba24960a56&hostname=allegro.investorvision.intralinks.com,href,C
5,Contact,Contact,a_inner_text,D
5,contact,/contact,href,C
6,Return to home page,Return to home page,a_inner_text,D
6,,/,href,D
7,Contact us,Contact us,a_inner_text,D
7,contact,/contact,href,C
8,About us,About us,a_inner_text,D
8,about us,/about-us,href,C
9,Investments,Investments,a_inner_text,D
9,investments,/investments,href,C
10,ESG and Responsible Investing,ESG and Responsible Investing,a_inner_text,D
10,esg and responsible investing,/esg-and-responsible-investing,href,C
11,News & Updates,News & Updates,a_inner_text,D
11,news,/news,href,C
12,Careers,Careers,a_inner_text,D
12,careers,/careers,href,C
13,Linkedin,Linkedin,a_inner_text,D
13,allegro funds pty ltd,https://www.linkedin.com/company/allegro-funds-pty-ltd/?viewAsMember=true,href,B
14,IR@allegrofunds.com.au,IR@allegrofunds.com.au,a_inner_text,D
14,IR@allegrofunds.com,mailto:IR@allegrofunds.com.au,href,C
15,Privacy Policy,Privacy Policy,a_inner_text,D
15,privacy policy,/privacy-policy,href,C
16,Disclaimer,Disclaimer,a_inner_text,D
16,website disclaimer,/website-disclaimer,href,C
17,About us,About us,a_inner_text,D
17,about us,/about-us,href,C
18,Investments,Investments,a_inner_text,D
18,investments,/investments,href,C
19,News & Updates,News & Updates,a_inner_text,D
19,news,/news,href,C
20,Careers,Careers,a_inner_text,D
20,careers,/careers,href,C
21,Investor Login,Investor Login,a_inner_text,D
21,login,https://iam.intralinks.com/idp/login/?applicationid=c3b3d6c3-46f5-4496-a17d-0eeb271fd601&br=5b30820e-5933-4be5-8d3a-33ba24960a56&hostname=allegro.investorvision.intralinks.com,href,C
22,Contact,Contact,a_inner_text,D
22,contact,/contact,href,C
23,About us,About us,a_inner_text,D
23,about us,/about-us,href,C
24,Investments,Investments,a_inner_text,D
24,investments,/investments,href,C
25,News & Updates,News & Updates,a_inner_text,D
25,news,/news,href,C
26,Careers,Careers,a_inner_text,D
26,careers,/careers,href,C
27,Investor Login,Investor Login,a_inner_text,D
