card_id,text,raw_text,type,rank
0,more,more,a_inner_text,D
0,void(0),javascript:void(0),href,C
1,INVESTOR LOGIN,INVESTOR LOGIN,a_inner_text,D
1,,https://services.dataexchange.fiscloudservices.com/Document/2449254,href,C
2,LOCATIONS,LOCATIONS,a_inner_text,D
2,locations,/locations,href,C
3,SEARCH,SEARCH,a_inner_text,D
3,void(0),javascript:void(0),href,C
4,Bain Capital,Bain Capital,img_alt_text,E
4,bain capital logo,/themes/custom/baincapital/images/bain-capital-logo.svg,src,E
5,Explore,Explore,a_inner_text,D
5,about us,https://www.baincapital.com/about-us,href,C
6,Overview,Overview,a_inner_text,D
6,about us,https://www.baincapital.com/about-us#overview,href,C
7,Purpose and values,Purpose and values,a_inner_text,D
7,about us,https://www.baincapital.com/about-us#purposeandValue,href,C
8,How we partner,How we partner,a_inner_text,D
8,about us,https://www.baincapital.com/about-us#ourpartnership,href,C
9,Our global presence,Our global presence,a_inner_text,D
9,about us,https://www.baincapital.com/about-us#globalpresence,href,C
10,"Our purpose, in our words","Our purpose, in our words",a_inner_text,D
10,about us,https://www.baincapital.com/about-us,href,C
11,Explore,Explore,a_inner_text,D
11,about us,https://www.baincapital.com/about-us,href,C
12,Overview,Overview,a_inner_text,D
12,about us,https://www.baincapital.com/about-us#overview,href,C
13,Purpose and values,Purpose and values,a_inner_text,D
13,about us,https://www.baincapital.com/about-us#purposeandValue,href,C
14,How we partner,How we partner,a_inner_text,D
14,about us,https://www.baincapital.com/about-us#ourpartnership,href,C
15,Our global presence,Our global presence,a_inner_text,D
15,about us,https://www.baincapital.com/about-us#globalpresence,href,C
16,Explore,Explore,a_inner_text,D
16,about us,https://www.baincapital.com/about-us,href,C
17,Overview,Overview,a_inner_text,D
17,about us,https://www.baincapital.com/about-us#overview,href,C
18,Purpose and values,Purpose and values,a_inner_text,D
18,about us,https://www.baincapital.com/about-us#purposeandValue,href,C
19,How we partner,How we partner,a_inner_text,D
19,about us,https://www.baincapital.com/about-us#ourpartnership,href,C
20,Our global presence,Our global presence,a_inner_text,D
20,about us,https://www.baincapital.com/about-us#globalpresence,href,C
21,"Our purpose, in our words","Our purpose, in our words",a_inner_text,D
21,about us,https://www.baincapital.com/about-us,href,C
22,Global Private Equity>,Global Private Equity>,a_inner_text,D
22,baincapitalprivateequity,https://www.baincapitalprivateequity.com/,href,D
23,Double Impact>,Double Impact>,a_inner_text,D
