card_id,text,raw_text,type,rank
1,email@example.com,email@example.com,a_inner_text,D
1,email@example,mailto:email@example.com,href,C
3,email@example.com,email@example.com,a_inner_text,D
3,email@example,mailto:email@example.com,href,C
4,ABOUT US,ABOUT US,a_inner_text,D
4,about us,https://cpecapital.com/about-us/,href,C
5,OUR PEOPLE,OUR PEOPLE,a_inner_text,D
5,our people,https://cpecapital.com/our-people/,href,C
6,PORTFOLIO,PORTFOLIO,a_inner_text,D
6,portfolio companies,https://cpecapital.com/portfolio-companies/,href,C
7,FOR INVESTORS,FOR INVESTORS,a_inner_text,D
7,for investors generating consistent returns,https://cpecapital.com/for-investors-generating-consistent-returns/,href,C
8,LOOKING FOR INVESTMENT,LOOKING FOR INVESTMENT,a_inner_text,D
8,looking for investment cpe capital a generalist investor,https://cpecapital.com/looking-for-investment-cpe-capital-a-generalist-investor/,href,C
9,NEWS,NEWS,a_inner_text,D
9,latest news on cpe capital and its portfolio companies,https://cpecapital.com/latest-news-on-cpe-capital-and-its-portfolio-companies/,href,C
10,CONTACT,CONTACT,a_inner_text,D
10,contact cpe capital,https://cpecapital.com/contact-cpe-capital/,href,C
11,INVESTOR LOGIN,INVESTOR LOGIN,a_inner_text,D
11,investors,https://investors.cpecapital.com,href,D
12,Text Hover,Text Hover,a_inner_text,D
12,,,href,C
13,Text Hover,Text Hover,a_inner_text,D
13,portfolio,https://cpecapital.com/portfolio/#modus,href,C
14,modusprojects.com.au,modusprojects.com.au,a_inner_text,D
14,modusprojects,http://modusprojects.com.au,href,D
15,Text Hover,Text Hover,a_inner_text,D
15,,,href,C
16,Text Hover,Text Hover,a_inner_text,D
16,portfolio,https://cpecapital.com/portfolio/#ambrose,href,C
17,ambroseconstruct.com.au,ambroseconstruct.com.au,a_inner_text,D
17,ambroseconstruct,http://ambroseconstruct.com.au,href,D
18,Text Hover,Text Hover,a_inner_text,D
18,,,href,C
19,Text Hover,Text Hover,a_inner_text,D
19,,,href,C
20,pushys.com.au,pushys.com.au,a_inner_text,D
20,pushys,http://pushys.com.au,href,D
21,bikebug.com,bikebug.com,a_inner_text,D
21,bikebug,http://bikebug.com,href,D
22,Text Hover,Text Hover,a_inner_text,D
22,,,href,C
23,Text Hover,Text Hover,a_inner_text,D
23,portfolio,https://cpecapital.com/portfolio/#bmrecycling,href,C
24,bmrecycling.com.au,bmrecycling.com.au,a_inner_text,D
24,bmrecycling,http://bmrecycling.com.au,href,D
25,Text Hover,Text Hover,a_inner_text,D
25,,,href,C
26,Text Hover,Text Hover,a_inner_text,D
26,portfolio,https://cpecapital.com/portfolio/#marand,href,C
27,asdam.org,asdam.org,a_inner_text,D
27,asdam,http://asdam.org,href,D
28,here,here,a_inner_text,D
28,for investors generating consistent returns,https://cpecapital.com/for-investors-generating-consistent-returns,href,C
29,Text Hover,Text Hover,a_inner_text,D
29,,,href,C
30,Text Hover,Text Hover,a_inner_text,D
30,portfolio,https://cpecapital.com/portfolio/#modus,href,C
31,modusprojects.com.au,modusprojects.com.au,a_inner_text,D
31,modusprojects,http://modusprojects.com.au,href,D
32,Text Hover,Text Hover,a_inner_text,D
32,,,href,C
33,Text Hover,Text Hover,a_inner_text,D
33,portfolio,https://cpecapital.com/portfolio/#modus,href,C
34,Text Hover,Text Hover,a_inner_text,D
34,portfolio,https://cpecapital.com/portfolio/#modus,href,C
35,modusprojects.com.au,modusprojects.com.au,a_inner_text,D
35,modusprojects,http://modusprojects.com.au,href,D
36,modusprojects.com.au,modusprojects.com.au,a_inner_text,D
36,modusprojects,http://modusprojects.com.au,href,D
37,Text Hover,Text Hover,a_inner_text,D
37,,,href,C
